Reading data files.[    0.04]
Creating Temoa model instance.[    0.53]
Solving.[    0.77]
Calculating reporting variables and formatting results.[    1.06]
Model name: The Temoa Energy System Model
Objective function value (TotalCost): 28790.1570536
Non-zero variable values:
      0.0009926031106416344   V_Activity[2017,spring,21,TRANS,2017]
      0.010308755926316566    V_Activity[2017,spring,22,DIST,2017]
      0.0009494512268486567   V_Activity[2017,spring,22,EC_SOLPV,2017]
      0.010182705126232018    V_Activity[2017,spring,22,ED_BATT,2017]
      9.494512268486567e-06   V_Activity[2017,spring,22,ED_SOLPV,2017]
      0.0026727942494150156   V_Activity[2017,spring,22,IMPSOLAR,2017]
      0.010308755926316566    V_Activity[2017,spring,22,LOCAL,2017]
      0.0008924841532377373   V_Activity[2017,spring,22,TRANS,2017]
      0.009928561378122688    V_Activity[2017,spring,23,DIST,2017]
      0.0008608288499222338   V_Activity[2017,spring,23,EC_SOLPV,2017]
      0.009858085042168166    V_Activity[2017,spring,23,ED_BATT,2017]
      8.608288499222338e-06   V_Activity[2017,spring,23,ED_SOLPV,2017]
      0.002423313946772581    V_Activity[2017,spring,23,IMPSOLAR,2017]
      0.009928561378122688    V_Activity[2017,spring,23,LOCAL,2017]
      0.0008091791189268997   V_Activity[2017,spring,23,TRANS,2017]
      0.011273721421681258    V_Activity[2017,summer,0,DIST,2017]
      0.0006637134929000357   V_Activity[2017,summer,0,EC_SOLPV,2017]
      0.011491753280326963    V_Activity[2017,summer,0,ED_BATT,2017]
      6.637134929000357e-06   V_Activity[2017,summer,0,ED_SOLPV,2017]
      0.001868415729968972    V_Activity[2017,summer,0,IMPSOLAR,2017]
      0.011273721421681258    V_Activity[2017,summer,0,LOCAL,2017]
      0.0006238906833260336   V_Activity[2017,summer,0,TRANS,2017]
      0.011078385532672621    V_Activity[2017,summer,1,DIST,2017]
      0.0006360938495798292   V_Activity[2017,summer,1,EC_SOLPV,2017]
      0.011307953351149291    V_Activity[2017,summer,1,ED_BATT,2017]
      6.360938495798293e-06   V_Activity[2017,summer,1,ED_SOLPV,2017]
      0.001790663843669173    V_Activity[2017,summer,1,IMPSOLAR,2017]
      0.011078385532672621    V_Activity[2017,summer,1,LOCAL,2017]
      0.0005979282186050394   V_Activity[2017,summer,1,TRANS,2017]
      0.01097857011526928     V_Activity[2017,summer,2,DIST,2017]
      0.0006519478019887498   V_Activity[2017,summer,2,EC_SOLPV,2017]
      0.011185563690550774    V_Activity[2017,summer,2,ED_BATT,2017]
      6.519478019887497e-06   V_Activity[2017,summer,2,ED_SOLPV,2017]
      0.0018352942065891383   V_Activity[2017,summer,2,IMPSOLAR,2017]
      0.01097857011526928     V_Activity[2017,summer,2,LOCAL,2017]
      0.0006128309338694248   V_Activity[2017,summer,2,TRANS,2017]
      0.010923738543298693    V_Activity[2017,summer,3,DIST,2017]
      0.0006748050197497808   V_Activity[2017,summer,3,EC_SOLPV,2017]
      0.011104890654139528    V_Activity[2017,summer,3,ED_BATT,2017]
      6.748050197497808e-06   V_Activity[2017,summer,3,ED_SOLPV,2017]
      0.0018996394182879894   V_Activity[2017,summer,3,IMPSOLAR,2017]
      0.010923738543298693    V_Activity[2017,summer,3,LOCAL,2017]
      0.0006343167185647939   V_Activity[2017,summer,3,TRANS,2017]
      0.01098089161657416     V_Activity[2017,summer,4,DIST,2017]
      0.0007517037690092712   V_Activity[2017,summer,4,EC_SOLPV,2017]
      0.011093291759843514    V_Activity[2017,summer,4,ED_BATT,2017]
      7.517037690092712e-06   V_Activity[2017,summer,4,ED_SOLPV,2017]
      0.002116116609528415    V_Activity[2017,summer,4,IMPSOLAR,2017]
      0.01098089161657416     V_Activity[2017,summer,4,LOCAL,2017]
      0.0007066015428687149   V_Activity[2017,summer,4,TRANS,2017]
      0.011384341870819778    V_Activity[2017,summer,5,DIST,2017]
      0.0008276618692492951   V_Activity[2017,summer,5,EC_SOLPV,2017]
      0.011454949042298952    V_Activity[2017,summer,5,ED_BATT,2017]
      8.27661869249295e-06    V_Activity[2017,summer,5,ED_SOLPV,2017]
      0.002329945785558735    V_Activity[2017,summer,5,IMPSOLAR,2017]
